[abhinandan] STALE-FIX PLAN: 60 substeps across 6 classes (out of 270 total planned)
[abhinandan] 1/60 ok key=career_advancement::g3_1984_1994 notes=career_advancement::g3_1984_1994: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, pea
[abhinandan] 14/60 ok key=chronic_onset::g3_2014_2024 notes=chronic_onset::g3_2014_2024: shape=interval, era_windows=1, peaks_scanned=208, peaks_admitted=25, pe
[abhinandan] 15/60 ok key=chronic_onset::g3_2024_2034 notes=chronic_onset::g3_2024_2034: shape=interval, era_windows=1, peaks_scanned=193, peaks_admitted=25, pe
[abhinandan] 16/60 ok key=chronic_onset::g3_2034_2044 notes=chronic_onset::g3_2034_2044: shape=interval, era_windows=1, peaks_scanned=209, peaks_admitted=27, pe
[abhinandan] 17/60 ok key=chronic_onset::g3_2044_2054 notes=chronic_onset::g3_2044_2054: shape=interval, era_windows=1, peaks_scanned=203, peaks_admitted=32, pe
[abhinandan] 18/60 ok key=chronic_onset::g3_2054_2064 notes=chronic_onset::g3_2054_2064: shape=interval, era_windows=1, peaks_scanned=204, peaks_admitted=23, pe
[abhinandan] 19/60 ok key=chronic_onset::g3_2064_2074 notes=chronic_onset::g3_2064_2074: shape=interval, era_windows=1, peaks_scanned=210, peaks_admitted=30, pe
[abhinandan] 20/60 ok key=chronic_onset::g3_2074_2084 notes=chronic_onset::g3_2074_2084: shape=interval, era_windows=1, peaks_scanned=214, peaks_admitted=30, pe
[abhinandan] 21/60 ok key=illness_acute::g3_1984_1994 notes=illness_acute::g3_1984_1994: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_re
[abhinandan] 22/60 ok key=illness_acute::g3_1994_2004 notes=illness_acute::g3_1994_2004: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_re
[abhinandan] 23/60 ok key=illness_acute::g3_2004_2014 notes=illness_acute::g3_2004_2014: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_re
[abhinandan] 24/60 ok key=illness_acute::g3_2014_2024 notes=illness_acute::g3_2014_2024: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_re
[abhinandan] 25/60 ok key=illness_acute::g3_2024_2034 notes=illness_acute::g3_2024_2034: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_re
[abhinandan] 26/60 ok key=illness_acute::g3_2034_2044 notes=illness_acute::g3_2034_2044: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_re
[abhinandan] 27/60 ok key=illness_acute::g3_2044_2054 notes=illness_acute::g3_2044_2054: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_re
[abhinandan] 28/60 ok key=illness_acute::g3_2054_2064 notes=illness_acute::g3_2054_2064: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_re
[abhinandan] 29/60 ok key=illness_acute::g3_2064_2074 notes=illness_acute::g3_2064_2074: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_re
[abhinandan] 30/60 ok key=illness_acute::g3_2074_2084 notes=illness_acute::g3_2074_2084: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_re
[abhinandan] 31/60 ok key=major_gain::g3_1984_1994 notes=major_gain::g3_1984_1994: shape=interval, era_windows=1, peaks_scanned=187, peaks_admitted=26, peaks
[abhinandan] 32/60 ok key=major_gain::g3_1994_2004 notes=major_gain::g3_1994_2004: shape=interval, era_windows=1, peaks_scanned=176, peaks_admitted=26, peaks
[abhinandan] 33/60 ok key=major_gain::g3_2004_2014 notes=major_gain::g3_2004_2014: shape=interval, era_windows=1, peaks_scanned=183, peaks_admitted=22, peaks
[abhinandan] 34/60 ok key=major_gain::g3_2014_2024 notes=major_gain::g3_2014_2024: shape=interval, era_windows=1, peaks_scanned=177, peaks_admitted=20, peaks
[abhinandan] 35/60 ok key=major_gain::g3_2024_2034 notes=major_gain::g3_2024_2034: shape=interval, era_windows=1, peaks_scanned=177, peaks_admitted=36, peaks
[abhinandan] 36/60 ok key=major_gain::g3_2034_2044 notes=major_gain::g3_2034_2044: shape=interval, era_windows=1, peaks_scanned=176, peaks_admitted=21, peaks
[abhinandan] 37/60 ok key=major_gain::g3_2044_2054 notes=major_gain::g3_2044_2054: shape=interval, era_windows=1, peaks_scanned=186, peaks_admitted=20, peaks
[abhinandan] 38/60 ok key=major_gain::g3_2054_2064 notes=major_gain::g3_2054_2064: shape=interval, era_windows=1, peaks_scanned=177, peaks_admitted=21, peaks
[abhinandan] 39/60 ok key=major_gain::g3_2064_2074 notes=major_gain::g3_2064_2074: shape=interval, era_windows=1, peaks_scanned=183, peaks_admitted=21, peaks
[abhinandan] 40/60 ok key=major_gain::g3_2074_2084 notes=major_gain::g3_2074_2084: shape=interval, era_windows=1, peaks_scanned=183, peaks_admitted=35, peaks
[abhinandan] 41/60 ok key=marriage::g3_1984_1994 notes=marriage::g3_1984_1994: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retaine
[abhinandan] 42/60 ok key=marriage::g3_1994_2004 notes=marriage::g3_1994_2004: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retaine
[abhinandan] 43/60 ok key=marriage::g3_2004_2014 notes=marriage::g3_2004_2014: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retaine
[abhinandan] 44/60 ok key=marriage::g3_2014_2024 notes=marriage::g3_2014_2024: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retaine
[abhinandan] 45/60 ok key=marriage::g3_2024_2034 notes=marriage::g3_2024_2034: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retaine
[abhinandan] 46/60 ok key=marriage::g3_2034_2044 notes=marriage::g3_2034_2044: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retaine
[abhinandan] 47/60 ok key=marriage::g3_2044_2054 notes=marriage::g3_2044_2054: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retaine
[abhinandan] 48/60 ok key=marriage::g3_2054_2064 notes=marriage::g3_2054_2064: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retaine
[abhinandan] 49/60 ok key=marriage::g3_2064_2074 notes=marriage::g3_2064_2074: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retaine
[abhinandan] 50/60 ok key=marriage::g3_2074_2084 notes=marriage::g3_2074_2084: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retaine
[abhinandan] 51/60 ok key=surgery::g3_1984_1994 notes=surgery::g3_1984_1994: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retained
[abhinandan] 52/60 ok key=surgery::g3_1994_2004 notes=surgery::g3_1994_2004: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retained
[abhinandan] 53/60 ok key=surgery::g3_2004_2014 notes=surgery::g3_2004_2014: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retained
[abhinandan] 54/60 ok key=surgery::g3_2014_2024 notes=surgery::g3_2014_2024: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retained
[abhinandan] 55/60 ok key=surgery::g3_2024_2034 notes=surgery::g3_2024_2034: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retained
[abhinandan] 56/60 ok key=surgery::g3_2034_2044 notes=surgery::g3_2034_2044: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retained
[abhinandan] 57/60 ok key=surgery::g3_2044_2054 notes=surgery::g3_2044_2054: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retained
[abhinandan] 58/60 ok key=surgery::g3_2054_2064 notes=surgery::g3_2054_2064: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retained
[abhinandan] 59/60 ok key=surgery::g3_2064_2074 notes=surgery::g3_2064_2074: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retained
[abhinandan] 60/60 ok key=surgery::g3_2074_2084 notes=surgery::g3_2074_2084: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, peaks_retained
[abhinandan] DONE committed=60/60 ins=180 upd=0 wall=13.1m
